,type,title,date,distance,time,easy,tempo,interval,long,recovery,category
615,running,home running,2015-09-21 18:14:03,5.14,33:31,False,False,False,False,False,
616,running,lumphini running,2015-09-15 17:03:37,5.08,26:23,False,False,False,False,False,
617,running,sai yok running,2015-09-13 06:08:28,21.01,1:58:17,False,False,False,True,False,long
618,running,sena running,2015-09-11 17:44:54,5.17,33:10,False,False,False,False,False,
619,running,lumphini running,2015-09-10 16:22:00,10.16,55:54,False,False,False,False,False,
620,running,bang rak running,2015-09-03 17:14:52,5.11,26:40,False,False,False,False,False,
621,running,sena running,2015-09-02 18:52:17,5.01,34:32,False,False,False,False,False,
622,running,khao kho running,2015-08-30 05:43:00,25.05,3:12:06,False,False,False,True,False,long
623,running,lumpini 10k running,2015-08-27 17:04:01,10.15,57:39,False,False,False,False,False,
624,running,kmutnb2015,2015-08-23 05:32:18,12.67,1:06:48,False,False,False,False,False,
625,running,bang rak running,2015-08-20 18:46:41,5.09,30:58,False,False,False,False,False,
626,running,soi sena running,2015-08-18 17:45:09,5.27,32:46,False,False,False,False,False,
627,running,bang rak running,2015-08-15 07:37:38,7.54,46:11,False,False,False,False,False,
